Target,Model,Order,Seasonal_Order,Backtest_MAE,Backtest_RMSE,Backtest_MAPE,Backtest_sMAPE,Backtest_Bias,Median_MAPE,AIC,BIC,N_Backtests,Converged_Rate
Revenue,SeasonalGrowth,,,2199614.514,4128420.867351313,0.09237999999999999,0.10258,-1498667.5099999998,0.0484,,,5,1.0
Revenue,SARIMA,"(1, 1, 1)","(0, 1, 0, 4)",3226157.722,5002824.132658038,0.13008,0.14809999999999998,-3226157.722,0.0882,242.12445890161348,241.89872309145358,5,1.0
Revenue,SARIMA,"(0, 1, 0)","(0, 1, 0, 4)",3113700.2,4205717.021154633,0.1457,0.15112,-1407501.8,0.1506,275.7282204154138,275.7916045814724,5,1.0
Revenue,SARIMA,"(0, 1, 1)","(0, 1, 0, 4)",3225217.304,4514438.26770282,0.1633,0.16988,-1581290.236,0.1011,248.38047191391198,248.2299813738054,5,1.0
Revenue,SARIMA,"(1, 1, 0)","(0, 1, 0, 4)",3298249.896,4457264.942616004,0.16528,0.17034,-1487619.956,0.1129,276.42987903414087,276.55664736625823,5,1.0
Revenue,SARIMA,"(0, 0, 1)","(0, 1, 0, 4)",3734594.95,5467739.8799033435,0.16548,0.1889,-3734594.95,0.1093,277.5143899309568,277.6411582630742,5,1.0
Revenue,SARIMA,"(1, 0, 0)","(0, 1, 0, 4)",3813453.008,5567217.992766138,0.1678,0.19206,-3813453.008,0.1163,305.8455968812458,306.2148195347913,5,1.0
Revenue,SARIMA,"(1, 1, 0)","(1, 1, 0, 4)",3528887.1620000005,4365077.399736292,0.17570000000000002,0.1864,-2700306.7060000002,0.2237,138.31696617543147,136.26451690263755,5,1.0
Revenue,SARIMA,"(2, 1, 0)","(0, 1, 0, 4)",3389728.0560000003,4616566.564409066,0.17662,0.18128,-1527021.2159999998,0.1093,244.3469328490844,244.1211970389245,5,1.0
Revenue,SARIMA,"(0, 1, 1)","(0, 1, 1, 4)",3510777.278,4854373.738337306,0.20908,0.20417999999999997,-1364740.554,0.1983,102.18684640857319,99.05934145424241,5,1.0
Revenue,SARIMA,"(1, 1, 1)","(1, 1, 0, 4)",4312354.73,5374387.327979382,0.22538,0.24008,-2948475.5900000003,0.2647,136.42014837397923,133.68354934358732,5,1.0
Revenue,SARIMA,"(1, 1, 1)","(0, 1, 1, 4)",3842161.45,5175403.310689801,0.23508,0.22798,-1255852.114,0.2992,104.30479158942698,100.13478498365264,5,1.0
Revenue,SeasonalNaive,,,6393607.2,8797444.473188864,0.30582000000000004,0.38738,-6393607.2,0.2387,,,5,1.0
Revenue,SARIMA,"(0, 1, 2)","(0, 1, 0, 4)",2090014846.552,4664022511.483314,118.66914,0.9207599999999999,2082383036.9079998,0.2488,336.3289399021306,335.616645962241,5,1.0
Profit,SeasonalGrowth,,,329604.898,618929.8280226642,0.09226000000000001,0.10247999999999999,-224707.678,0.0482,,,5,1.0
Profit,SARIMA,"(1, 1, 1)","(0, 1, 0, 4)",483927.334,750248.0876629867,0.13012,0.14816000000000001,-483927.334,0.0885,215.56301755157733,215.33728174141743,5,1.0
Profit,SARIMA,"(0, 1, 0)","(0, 1, 0, 4)",466841.6,630583.344805427,0.14565999999999998,0.15108000000000002,-211138.8,0.1504,245.3710321899959,245.43441635605464,5,1.0
Profit,SARIMA,"(0, 1, 1)","(0, 1, 0, 4)",483547.192,676927.0855974383,0.16326000000000002,0.16987999999999998,-237234.83200000002,0.1011,221.82083298674382,221.67034244663722,5,1.0
Profit,SARIMA,"(1, 1, 0)","(0, 1, 0, 4)",494517.984,668346.6700446601,0.1653,0.17028000000000001,-223174.26400000002,0.113,246.07219397489962,246.19896230701698,5,1.0
Profit,SARIMA,"(0, 0, 1)","(0, 1, 0, 4)",560171.038,819990.463533163,0.16552,0.18892,-560171.038,0.1094,247.16023977273306,247.28700810485049,5,1.0
Profit,SARIMA,"(1, 0, 0)","(0, 1, 0, 4)",571989.1640000001,834907.0563693695,0.16782000000000002,0.1921,-571989.1640000001,0.1165,271.69353272120736,272.0627553747529,5,1.0
Profit,SARIMA,"(1, 1, 0)","(1, 1, 0, 4)",529243.838,654642.3289655163,0.1757,0.18642,-404878.622,0.2236,123.13823744213782,121.08578816934387,5,1.0
Profit,SARIMA,"(2, 1, 0)","(0, 1, 0, 4)",508222.30600000004,692244.1925333386,0.17658000000000001,0.18124,-229092.18200000003,0.1094,217.78412910913266,217.55839329897276,5,1.0
Profit,SARIMA,"(0, 1, 1)","(0, 1, 1, 4)",526609.2619999999,727960.3367854991,0.20914000000000002,0.20423999999999998,-204808.38999999998,0.1982,90.80195964743432,87.67445469310356,5,1.0
Profit,SARIMA,"(1, 1, 1)","(1, 1, 0, 4)",637492.648,801439.7075086022,0.21846000000000002,0.23474,-450933.604,0.2645,121.24386357764884,118.50726454725691,5,0.8
Profit,SARIMA,"(1, 1, 1)","(0, 1, 1, 4)",623871.092,786025.8117188086,0.25342000000000003,0.24731999999999998,-251454.168,0.3018,92.92837895863468,88.75837235286032,5,1.0
Profit,SeasonalNaive,,,958877.998,1319401.6419375357,0.30584,0.38746,-958877.998,0.2387,,,5,1.0
Profit,SARIMA,"(0, 1, 2)","(0, 1, 0, 4)",17574757.05,37893033.77463286,6.697920000000001,0.8774200000000001,16316772.790000001,0.3127,307.7146027239489,307.0023087840592,5,0.8
